"NUM OF MASTER 
PARAMS",Num of Strings,Num of Groups,List Descriptor String,Data to AUTOMATICALLY DROP,Num of Outputs,,,,,,,,,,,,,,,,,,,
5,6,1,CN_DB_V8,1233,1,,,,,,,,,,,,,,,,,,,
DATAID,T/V/L/U,STRINGS,,,,,,GROUPS, PARAMETERS,,,,,,,,,,,,,,,
DATAid,T/V/L,Compund Group,Compound,SMILES,Formula,Source,Method,Null,CN (Exp),Mor32e,L/Bw,nROR,ESpm03d,nROH,CIC1,RDF090m,nR=Cs,nOHp,nHDon,DISPm,O-059,S3K,O-056,Mor16u
1101,L,Aromatics,sec-(R)-butyltetralin,CC[C@@H](C)C1CCCc2ccccc12,C14H20,NREL (2014),?,0,7,-0.09,1.94,0,3.687,0,2.61,0,0,0,0,7.005,0,1.872,0,0.331
1102,L,Aromatics,tert-butyltetralin,CC(C)(C)C1CCCc2ccccc12,C14H20,NREL (2014),Unknown,0,17,-0.26,1.7,0,4.059,0,2.61,0,0,0,0,6.47,0,1.872,0,0.333
1103,L,Aromatics,2(R)-phenylundecane,CCCCCCCCC[C@@H](C)c1ccccc1,C17H28,NREL (2014),Unknown,0,51,0.681,30.29,0,3.067,0,3.406,2.257,0,0,0,14.797,0,6.507,0,1.221
1104,L,Aromatics,sec-(S)-butyltetralin,CC[C@H](C)C1CCCc2ccccc12,C14H20,NREL (2014),Unknown,0,7,-0.068,2.52,0,3.687,0,2.61,0.002,0,0,0,7.858,0,1.872,0,0.303
1105,L,Aromatics,7-phenyltridecane,CCCCCCC(CCCCCC)c1ccccc1,C19H32,NREL (2014),Unknown,0,41,0.758,5.66,0,3.067,0,3.663,1.876,0,0,0,3.735,0,7.399,0,1.621
1106,L,Aromatics,octylxylene,CCCCCCCCc1cccc(C)c1C,C16H26,NREL (2014),Unknown,0,20,0.553,14.58,0,3.533,0,3.234,1.57,0,0,0,11.305,0,4.743,0,1.233
1107,L,Aromatics,n-butylbenzene,CCCCC1=CC=CC=C1,C10H14,NREL (2014),IQT,0,12,0.205,9.29,0,2.598,0,2.24,0,0,0,0,10.631,0,2.576,0,0.515
1108,L,Aromatics,4(S)-phenyldodecane,CCCCCCCC[C@H](CCC)c1ccccc1,C18H30,NREL (2014),Unknown,0,42,0.521,6.43,0,3.067,0,3.538,1.655,0,0,0,8.473,0,6.672,0,1.562
1109,L,Aromatics,?-methyl-trans-cinnamaldehyde,CC(=CC1=CC=CC=C1)C=O,C10H10O,Dahmen/Marquadt (ASG),IQT,0,17.5,-0.047,6.55,0,3.649,0,1.715,0,1,0,0,4.428,0,2.382,0,0.302
1110,L,Aromatics,5-methyl-5-(beta-naphthyl)nonane,CCCC[C@@](C)(CCCC)c1ccc2ccccc2c1,C20H28,NREL (2014),Unknown,0,12,0.36,2.3,0,3.98,0,3.204,1.04,0,0,0,12.533,0,3.637,0,0.746
